input_db,output_db,gain_reduction_db,threshold,ratio,knee,attack_ms,release_ms
-60.0,-63.13,3.13,-1.0,2.0,,,
-57.5,-60.87,3.37,-1.0,2.0,,,
-55.0,-58.74,3.74,-1.0,2.0,,,
-52.5,-56.74,4.24,-1.0,2.0,,,
-50.0,-54.87,4.87,-1.0,2.0,,,
-47.5,-53.13,5.63,-1.0,2.0,,,
-45.0,-51.52,6.52,-1.0,2.0,,,
-42.5,-50.16,7.66,-1.0,2.0,,,
-40.0,-50.01,10.01,-1.0,2.0,,,
-37.5,-49.81,12.31,-1.0,2.0,,,
-35.0,-49.7,14.7,-1.0,2.0,,,
-32.5,-49.58,17.08,-1.0,2.0,,,
-30.0,-49.34,19.34,-1.0,2.0,,,
-27.5,-48.86,21.36,-1.0,2.0,,,
-25.0,-48.14,23.14,-1.0,2.0,,,
-22.5,-47.26,24.76,-1.0,2.0,,,
-20.0,-46.27,26.27,-1.0,2.0,,,
-17.5,-45.21,27.71,-1.0,2.0,,,
-15.0,-44.1,29.1,-1.0,2.0,,,
-12.5,-42.95,30.45,-1.0,2.0,,,
-10.0,-41.77,31.77,-1.0,2.0,,,
-7.5,-40.58,33.08,-1.0,2.0,,,
-5.0,-39.36,34.36,-1.0,2.0,,,
-2.5,-38.12,35.62,-1.0,2.0,,,
0.0,-36.77,36.77,-1.0,2.0,,,
-60.0,-63.17,3.17,-1.0,3.0,,,
-57.5,-60.98,3.48,-1.0,3.0,,,
-55.0,-58.97,3.97,-1.0,3.0,,,
-52.5,-57.14,4.64,-1.0,3.0,,,
-50.0,-55.47,5.47,-1.0,3.0,,,
-47.5,-53.98,6.48,-1.0,3.0,,,
-45.0,-52.65,7.65,-1.0,3.0,,,
-42.5,-51.67,9.17,-1.0,3.0,,,
-40.0,-52.27,12.27,-1.0,3.0,,,
-37.5,-52.82,15.32,-1.0,3.0,,,
-35.0,-53.48,18.48,-1.0,3.0,,,
-32.5,-54.12,21.62,-1.0,3.0,,,
-30.0,-54.6,24.6,-1.0,3.0,,,
-27.5,-54.75,27.25,-1.0,3.0,,,
-25.0,-54.59,29.59,-1.0,3.0,,,
-22.5,-54.23,31.73,-1.0,3.0,,,
-20.0,-53.72,33.72,-1.0,3.0,,,
-17.5,-53.11,35.61,-1.0,3.0,,,
-15.0,-52.43,37.43,-1.0,3.0,,,
-12.5,-51.71,39.21,-1.0,3.0,,,
-10.0,-50.95,40.95,-1.0,3.0,,,
-7.5,-50.17,42.67,-1.0,3.0,,,
-5.0,-49.36,44.36,-1.0,3.0,,,
-2.5,-48.52,46.02,-1.0,3.0,,,
0.0,-47.57,47.57,-1.0,3.0,,,
-60.0,-63.19,3.19,-1.0,3.9,,,
-57.5,-61.04,3.54,-1.0,3.9,,,
-55.0,-59.09,4.09,-1.0,3.9,,,
-52.5,-57.33,4.83,-1.0,3.9,,,
-50.0,-55.77,5.77,-1.0,3.9,,,
-47.5,-54.4,6.9,-1.0,3.9,,,
-45.0,-53.22,8.22,-1.0,3.9,,,
-42.5,-52.42,9.92,-1.0,3.9,,,
-40.0,-53.4,13.4,-1.0,3.9,,,
-37.5,-54.32,16.82,-1.0,3.9,,,
-35.0,-55.36,20.36,-1.0,3.9,,,
-32.5,-56.37,23.87,-1.0,3.9,,,
-30.0,-57.21,27.21,-1.0,3.9,,,
-27.5,-57.68,30.18,-1.0,3.9,,,
-25.0,-57.8,32.8,-1.0,3.9,,,
-22.5,-57.69,35.19,-1.0,3.9,,,
-20.0,-57.41,37.41,-1.0,3.9,,,
-17.5,-57.03,39.53,-1.0,3.9,,,
-15.0,-56.57,41.57,-1.0,3.9,,,
-12.5,-56.06,43.56,-1.0,3.9,,,
-10.0,-55.5,45.5,-1.0,3.9,,,
-7.5,-54.92,47.42,-1.0,3.9,,,
