frequency_hz,magnitude_db,drive_level_db
20.0,-3.744,-18.0
25.4,-4.115,-18.0
32.2,-4.318,-18.0
40.9,-4.415,-18.0
51.9,-4.567,-18.0
65.8,-4.586,-18.0
83.5,-4.59,-18.0
106.0,-4.567,-18.0
134.5,-4.554,-18.0
170.6,-4.558,-18.0
216.5,-4.546,-18.0
274.8,-4.54,-18.0
348.7,-4.545,-18.0
442.4,-4.536,-18.0
561.4,-4.533,-18.0
712.4,-4.536,-18.0
904.1,-4.535,-18.0
1147.2,-4.537,-18.0
1455.8,-4.535,-18.0
1847.3,-4.536,-18.0
2344.2,-4.536,-18.0
2974.7,-4.537,-18.0
3774.8,-4.539,-18.0
4790.1,-4.544,-18.0
6078.4,-4.551,-18.0
7713.2,-4.563,-18.0
9787.8,-4.589,-18.0
12420.3,-4.643,-18.0
15760.9,-4.805,-18.0
20000.0,-5.788,-18.0
20.0,-5.432,-12.0
25.4,-6.969,-12.0
32.2,-8.027,-12.0
40.9,-8.457,-12.0
51.9,-8.601,-12.0
65.8,-8.674,-12.0
83.5,-8.694,-12.0
106.0,-8.685,-12.0
134.5,-8.677,-12.0
170.6,-8.683,-12.0
216.5,-8.679,-12.0
274.8,-8.672,-12.0
348.7,-8.681,-12.0
442.4,-8.669,-12.0
561.4,-8.666,-12.0
712.4,-8.67,-12.0
904.1,-8.669,-12.0
1147.2,-8.672,-12.0
1455.8,-8.67,-12.0
1847.3,-8.67,-12.0
2344.2,-8.669,-12.0
2974.7,-8.669,-12.0
3774.8,-8.67,-12.0
4790.1,-8.673,-12.0
6078.4,-8.675,-12.0
7713.2,-8.68,-12.0
9787.8,-8.691,-12.0
12420.3,-8.713,-12.0
15760.9,-8.778,-12.0
20000.0,-9.141,-12.0
20.0,-10.329,-6.0
25.4,-11.862,-6.0
32.2,-12.713,-6.0
40.9,-13.075,-6.0
51.9,-13.174,-6.0
65.8,-13.254,-6.0
83.5,-13.273,-6.0
106.0,-13.268,-6.0
134.5,-13.26,-6.0
170.6,-13.266,-6.0
216.5,-13.265,-6.0
274.8,-13.258,-6.0
348.7,-13.267,-6.0
442.4,-13.255,-6.0
561.4,-13.252,-6.0
712.4,-13.256,-6.0
904.1,-13.255,-6.0
1147.2,-13.258,-6.0
1455.8,-13.256,-6.0
1847.3,-13.257,-6.0
2344.2,-13.255,-6.0
2974.7,-13.255,-6.0
3774.8,-13.257,-6.0
4790.1,-13.26,-6.0
6078.4,-13.263,-6.0
7713.2,-13.269,-6.0
9787.8,-13.282,-6.0
12420.3,-13.309,-6.0
15760.9,-13.387,-6.0
20000.0,-13.816,-6.0
20.0,-14.888,0.0
25.4,-16.207,0.0
32.2,-16.977,0.0
40.9,-17.3,0.0
51.9,-17.406,0.0
65.8,-17.489,0.0
83.5,-17.505,0.0
106.0,-17.507,0.0
134.5,-17.496,0.0
170.6,-17.504,0.0
216.5,-17.502,0.0
274.8,-17.494,0.0
348.7,-17.504,0.0
442.4,-17.489,0.0
561.4,-17.486,0.0
712.4,-17.492,0.0
904.1,-17.49,0.0
1147.2,-17.494,0.0
1455.8,-17.491,0.0
1847.3,-17.493,0.0
2344.2,-17.491,0.0
2974.7,-17.491,0.0
3774.8,-17.493,0.0
4790.1,-17.497,0.0
6078.4,-17.501,0.0
7713.2,-17.511,0.0
9787.8,-17.529,0.0
12420.3,-17.567,0.0
15760.9,-17.676,0.0
20000.0,-18.215,0.0
20.0,-16.164,3.0
25.4,-17.602,3.0
32.2,-18.343,3.0
40.9,-18.419,3.0
51.9,-18.68,3.0
65.8,-18.683,3.0
83.5,-18.658,3.0
106.0,-18.682,3.0
134.5,-18.657,3.0
170.6,-18.685,3.0
216.5,-18.648,3.0
274.8,-18.642,3.0
348.7,-18.659,3.0
442.4,-18.622,3.0
561.4,-18.616,3.0
712.4,-18.636,3.0
904.1,-18.627,3.0
1147.2,-18.635,3.0
1455.8,-18.627,3.0
1847.3,-18.631,3.0
2344.2,-18.628,3.0
2974.7,-18.632,3.0
3774.8,-18.638,3.0
4790.1,-18.651,3.0
6078.4,-18.667,3.0
7713.2,-18.701,3.0
9787.8,-18.759,3.0
12420.3,-18.877,3.0
15760.9,-19.171,3.0
20000.0,-20.158,3.0
