input_db,output_db,gain_reduction_db,threshold,ratio,knee,attack_ms,release_ms
-60.0,-63.01,3.01,-30.0,4.0,,0.5,400.0
-57.5,-60.51,3.01,-30.0,4.0,,0.5,400.0
-55.0,-58.01,3.01,-30.0,4.0,,0.5,400.0
-52.5,-55.51,3.01,-30.0,4.0,,0.5,400.0
-50.0,-53.01,3.01,-30.0,4.0,,0.5,400.0
-47.5,-50.51,3.01,-30.0,4.0,,0.5,400.0
-45.0,-48.01,3.01,-30.0,4.0,,0.5,400.0
-42.5,-45.51,3.01,-30.0,4.0,,0.5,400.0
-40.0,-43.07,3.07,-30.0,4.0,,0.5,400.0
-37.5,-41.1,3.6,-30.0,4.0,,0.5,400.0
-35.0,-39.7,4.7,-30.0,4.0,,0.5,400.0
-32.5,-38.87,6.37,-30.0,4.0,,0.5,400.0
-30.0,-38.24,8.24,-30.0,4.0,,0.5,400.0
-27.5,-37.62,10.12,-30.0,4.0,,0.5,400.0
-25.0,-36.99,11.99,-30.0,4.0,,0.5,400.0
-22.5,-36.37,13.87,-30.0,4.0,,0.5,400.0
-20.0,-35.74,15.74,-30.0,4.0,,0.5,400.0
-17.5,-35.12,17.62,-30.0,4.0,,0.5,400.0
-15.0,-34.49,19.49,-30.0,4.0,,0.5,400.0
-12.5,-33.87,21.37,-30.0,4.0,,0.5,400.0
-10.0,-33.24,23.24,-30.0,4.0,,0.5,400.0
-7.5,-32.61,25.11,-30.0,4.0,,0.5,400.0
-5.0,-31.99,26.99,-30.0,4.0,,0.5,400.0
-2.5,-31.35,28.85,-30.0,4.0,,0.5,400.0
0.0,-30.69,30.69,-30.0,4.0,,0.5,400.0
-60.0,-63.01,3.01,-30.0,5.0,,0.5,400.0
-57.5,-60.51,3.01,-30.0,5.0,,0.5,400.0
-55.0,-58.01,3.01,-30.0,5.0,,0.5,400.0
-52.5,-55.51,3.01,-30.0,5.0,,0.5,400.0
-50.0,-53.01,3.01,-30.0,5.0,,0.5,400.0
-47.5,-50.51,3.01,-30.0,5.0,,0.5,400.0
-45.0,-48.01,3.01,-30.0,5.0,,0.5,400.0
-42.5,-45.51,3.01,-30.0,5.0,,0.5,400.0
-40.0,-43.07,3.07,-30.0,5.0,,0.5,400.0
-37.5,-41.13,3.63,-30.0,5.0,,0.5,400.0
-35.0,-39.8,4.8,-30.0,5.0,,0.5,400.0
-32.5,-39.06,6.56,-30.0,5.0,,0.5,400.0
-30.0,-38.54,8.54,-30.0,5.0,,0.5,400.0
-27.5,-38.03,10.53,-30.0,5.0,,0.5,400.0
-25.0,-37.51,12.51,-30.0,5.0,,0.5,400.0
-22.5,-36.99,14.49,-30.0,5.0,,0.5,400.0
-20.0,-36.48,16.48,-30.0,5.0,,0.5,400.0
-17.5,-35.96,18.46,-30.0,5.0,,0.5,400.0
-15.0,-35.44,20.44,-30.0,5.0,,0.5,400.0
-12.5,-34.93,22.43,-30.0,5.0,,0.5,400.0
-10.0,-34.41,24.41,-30.0,5.0,,0.5,400.0
-7.5,-33.89,26.39,-30.0,5.0,,0.5,400.0
-5.0,-33.37,28.37,-30.0,5.0,,0.5,400.0
-2.5,-32.84,30.34,-30.0,5.0,,0.5,400.0
0.0,-32.29,32.29,-30.0,5.0,,0.5,400.0
-60.0,-63.01,3.01,-30.0,6.0,,0.5,400.0
-57.5,-60.51,3.01,-30.0,6.0,,0.5,400.0
-55.0,-58.01,3.01,-30.0,6.0,,0.5,400.0
-52.5,-55.51,3.01,-30.0,6.0,,0.5,400.0
-50.0,-53.01,3.01,-30.0,6.0,,0.5,400.0
-47.5,-50.51,3.01,-30.0,6.0,,0.5,400.0
-45.0,-48.01,3.01,-30.0,6.0,,0.5,400.0
-42.5,-45.51,3.01,-30.0,6.0,,0.5,400.0
-40.0,-43.07,3.07,-30.0,6.0,,0.5,400.0
-37.5,-41.16,3.66,-30.0,6.0,,0.5,400.0
-35.0,-39.87,4.87,-30.0,6.0,,0.5,400.0
-32.5,-39.2,6.7,-30.0,6.0,,0.5,400.0
-30.0,-38.76,8.76,-30.0,6.0,,0.5,400.0
-27.5,-38.32,10.82,-30.0,6.0,,0.5,400.0
-25.0,-37.88,12.88,-30.0,6.0,,0.5,400.0
-22.5,-37.44,14.94,-30.0,6.0,,0.5,400.0
-20.0,-37.0,17.0,-30.0,6.0,,0.5,400.0
-17.5,-36.56,19.06,-30.0,6.0,,0.5,400.0
-15.0,-36.12,21.12,-30.0,6.0,,0.5,400.0
-12.5,-35.68,23.18,-30.0,6.0,,0.5,400.0
-10.0,-35.24,25.24,-30.0,6.0,,0.5,400.0
-7.5,-34.79,27.29,-30.0,6.0,,0.5,400.0
-5.0,-34.35,29.35,-30.0,6.0,,0.5,400.0
-2.5,-33.9,31.4,-30.0,6.0,,0.5,400.0
0.0,-33.42,33.42,-30.0,6.0,,0.5,400.0
-60.0,-63.01,3.01,-30.0,7.0,,0.5,400.0
-57.5,-60.51,3.01,-30.0,7.0,,0.5,400.0
-55.0,-58.01,3.01,-30.0,7.0,,0.5,400.0
-52.5,-55.51,3.01,-30.0,7.0,,0.5,400.0
-50.0,-53.01,3.01,-30.0,7.0,,0.5,400.0
-47.5,-50.51,3.01,-30.0,7.0,,0.5,400.0
-45.0,-48.01,3.01,-30.0,7.0,,0.5,400.0
-42.5,-45.51,3.01,-30.0,7.0,,0.5,400.0
-40.0,-43.07,3.07,-30.0,7.0,,0.5,400.0
-37.5,-41.18,3.68,-30.0,7.0,,0.5,400.0
-35.0,-39.92,4.92,-30.0,7.0,,0.5,400.0
-32.5,-39.3,6.8,-30.0,7.0,,0.5,400.0
-30.0,-38.92,8.92,-30.0,7.0,,0.5,400.0
-27.5,-38.53,11.03,-30.0,7.0,,0.5,400.0
-25.0,-38.15,13.15,-30.0,7.0,,0.5,400.0
-22.5,-37.77,15.27,-30.0,7.0,,0.5,400.0
-20.0,-37.39,17.39,-30.0,7.0,,0.5,400.0
-17.5,-37.0,19.5,-30.0,7.0,,0.5,400.0
-15.0,-36.62,21.62,-30.0,7.0,,0.5,400.0
-12.5,-36.24,23.74,-30.0,7.0,,0.5,400.0
-10.0,-35.85,25.85,-30.0,7.0,,0.5,400.0
-7.5,-35.47,27.97,-30.0,7.0,,0.5,400.0
-5.0,-35.08,30.08,-30.0,7.0,,0.5,400.0
-2.5,-34.69,32.19,-30.0,7.0,,0.5,400.0
