input_db,output_db,gain_reduction_db,threshold,ratio,knee,attack_ms,release_ms
-60.0,-63.1,3.1,25.0,,,,
-57.5,-60.6,3.1,25.0,,,,
-55.0,-58.1,3.1,25.0,,,,
-52.5,-55.6,3.1,25.0,,,,
-50.0,-53.1,3.1,25.0,,,,
-47.5,-50.6,3.1,25.0,,,,
-45.0,-48.1,3.1,25.0,,,,
-42.5,-45.6,3.1,25.0,,,,
-40.0,-43.1,3.1,25.0,,,,
-37.5,-40.6,3.1,25.0,,,,
-35.0,-38.1,3.1,25.0,,,,
-32.5,-35.6,3.1,25.0,,,,
-30.0,-33.1,3.1,25.0,,,,
-27.5,-30.6,3.1,25.0,,,,
-25.0,-28.1,3.1,25.0,,,,
-22.5,-25.6,3.1,25.0,,,,
-20.0,-23.1,3.1,25.0,,,,
-17.5,-20.6,3.1,25.0,,,,
-15.0,-18.1,3.1,25.0,,,,
-12.5,-15.6,3.1,25.0,,,,
-10.0,-13.1,3.1,25.0,,,,
-7.5,-10.6,3.1,25.0,,,,
-5.0,-8.13,3.13,25.0,,,,
-2.5,-6.84,4.34,25.0,,,,
0.0,-5.65,5.65,25.0,,,,
-60.0,-63.1,3.1,25.0,,,,
-57.5,-60.6,3.1,25.0,,,,
-55.0,-58.1,3.1,25.0,,,,
-52.5,-55.6,3.1,25.0,,,,
-50.0,-53.1,3.1,25.0,,,,
-47.5,-50.6,3.1,25.0,,,,
-45.0,-48.1,3.1,25.0,,,,
-42.5,-45.6,3.1,25.0,,,,
-40.0,-43.1,3.1,25.0,,,,
-37.5,-40.6,3.1,25.0,,,,
-35.0,-38.1,3.1,25.0,,,,
-32.5,-35.6,3.1,25.0,,,,
-30.0,-33.1,3.1,25.0,,,,
-27.5,-30.6,3.1,25.0,,,,
-25.0,-28.1,3.1,25.0,,,,
-22.5,-25.6,3.1,25.0,,,,
-20.0,-23.1,3.1,25.0,,,,
-17.5,-20.6,3.1,25.0,,,,
-15.0,-18.1,3.1,25.0,,,,
-12.5,-15.6,3.1,25.0,,,,
-10.0,-13.1,3.1,25.0,,,,
-7.5,-10.6,3.1,25.0,,,,
-5.0,-8.13,3.13,25.0,,,,
-2.5,-6.84,4.34,25.0,,,,
0.0,-5.65,5.65,25.0,,,,
-60.0,-63.1,3.1,25.0,,,,
-57.5,-60.6,3.1,25.0,,,,
-55.0,-58.1,3.1,25.0,,,,
-52.5,-55.6,3.1,25.0,,,,
-50.0,-53.1,3.1,25.0,,,,
-47.5,-50.6,3.1,25.0,,,,
-45.0,-48.1,3.1,25.0,,,,
-42.5,-45.6,3.1,25.0,,,,
-40.0,-43.1,3.1,25.0,,,,
-37.5,-40.6,3.1,25.0,,,,
-35.0,-38.1,3.1,25.0,,,,
